Name,Age,Department,Salary,Years_Experience,Promotion_Eligibility
Jason Flores,21.0,Customer Support,36800.0,0.0,No
Emily Robinson,27.0,Customer Support,56400.0,3.0,No
Jennifer Wise,26.0,Sales,60600.0,4.0,No
Mary Miller,37.0,IT,80600.0,11.0,Yes
Larry Rivera,48.0,Sales,86000.0,20.0,Yes
Kimberly Morris,30.0,Operations,65000.0,7.0,Yes
Lance Lynn,43.0,IT,82600.0,11.0,Yes
Patricia Harvey,33.0,IT,78100.0,4.0,No
Robert Flowers,35.0,Sales,64200.0,10.0,Yes
Lisa Fox,42.0,Marketing,81500.0,17.0,Yes
Melissa Banks,30.0,IT,242100.0,4.0,Yes
Stacey Clements,34.0,,85100.0,9.0,Yes
Joseph Coleman,44.0,Operations,75600.0,17.0,Yes
Anthony Brown,42.0,Operations,68600.0,9.0,Yes
James Williams,21.0,Customer Support,49400.0,0.0,No
Christina Roberts,43.0,Operations,67500.0,14.0,Yes
Carrie Stafford,38.0,Finance,69800.0,6.0,Yes
Breanna Lopez,30.0,Marketing,60100.0,6.0,Yes
Robin Donovan,,Customer Support,51600.0,9.0,Yes
Melissa Taylor,27.0,Operations,50400.0,3.0,No
Heather Duffy,45.0,Engineering,95100.0,13.0,Yes
Kristin Andrews,58.0,Sales,,,Yes
Ellen Morgan,48.0,Finance,96500.0,21.0,Yes
Larry Lane,26.0,Engineering,87200.0,,Yes
Jacqueline Mccoy,38.0,,72400.0,7.0,Yes
Sandra Torres,21.0,IT,73200.0,0.0,No
Nicholas Richardson,27.0,Customer Support,48500.0,5.0,No
Matthew Farley,21.0,Finance,60000.0,0.0,No
Mark Brown,33.0,Finance,77600.0,7.0,Yes
Alex Clements,31.0,Operations,54600.0,5.0,No
Mark Williamson,39.0,HR,81500.0,14.0,Yes
Christopher Hill,38.0,IT,73600.0,9.0,Yes
Destiny Bishop,33.0,HR,60300.0,5.0,Yes
Mrs. Valerie Owens,45.0,Engineering,91200.0,9.0,Yes
Desiree Spencer,36.0,HR,55600.0,9.0,Yes
Brittany Ward,32.0,IT,86200.0,7.0,Yes
Carla Goodman,39.0,IT,82600.0,13.0,Yes
Christopher Mullen,38.0,Engineering,94500.0,13.0,Yes
Daisy Larson,41.0,IT,100400.0,16.0,Yes
Jesse Lynch,35.0,Engineering,68600.0,4.0,No
William Holmes,34.0,Sales,53900.0,5.0,No
Kathy Lewis,42.0,Operations,65800.0,9.0,Yes
Christopher Patterson,21.0,IT,75800.0,0.0,No
Emily Coleman,25.0,Engineering,73900.0,3.0,No
David Jones,38.0,Engineering,85200.0,10.0,Yes
Dr. Roberto Johnston,41.0,Sales,71500.0,6.0,No
Ellen Thornton,42.0,Engineering,82600.0,10.0,Yes
John Lowe,46.0,Finance,94200.0,17.0,Yes
Colin Fletcher,40.0,IT,94200.0,14.0,Yes
Roger Johnson,28.0,Sales,60800.0,3.0,No
Jennifer Johnson,45.0,Marketing,78000.0,19.0,Yes
Terry Carr,27.0,HR,50100.0,4.0,Yes
Joshua Leonard,50.0,Operations,86300.0,19.0,Yes
Arthur Stout,39.0,Engineering,77200.0,6.0,No
Robert Byrd,28.0,IT,75600.0,5.0,Yes
Jesse Murphy,,IT,72300.0,8.0,Yes
Michael Wilson,32.0,Finance,73300.0,8.0,Yes
Ethan Jones,32.0,HR,57300.0,4.0,No
Linda Newman,27.0,IT,73400.0,5.0,No
Beth Ellis,22.0,Engineering,80200.0,1.0,Yes
Norman Porter,23.0,Finance,59200.0,1.0,No
Heather Woodard,27.0,IT,68900.0,2.0,No
Scott Stephens,40.0,HR,,12.0,Yes
Aaron Johnson,45.0,Marketing,73300.0,12.0,Yes
Jim Skinner,22.0,Operations,51100.0,0.0,No
Veronica King,33.0,Marketing,64100.0,10.0,Yes
David Reed,31.0,Operations,63400.0,5.0,Yes
Sheila Johnson,42.0,Finance,79000.0,12.0,Yes
Colton Martinez,27.0,,85600.0,5.0,No
Jason Snow,39.0,IT,74100.0,6.0,No
Isaiah Avila,24.0,Engineering,65800.0,1.0,No
Rebecca Edwards,37.0,IT,91200.0,9.0,Yes
Max Mcclain,34.0,,63300.0,9.0,Yes
Sherry Cox,40.0,HR,60500.0,9.0,Yes
Katherine Andrade,40.0,Operations,78200.0,16.0,Yes
William Herrera,35.0,Marketing,45700.0,5.0,Yes
Erin Stewart,46.0,Engineering,95400.0,20.0,Yes
Richard Reynolds,31.0,IT,72200.0,3.0,Yes
Kristin Herman,55.0,Finance,108400.0,26.0,Yes
Glen Wood,43.0,Marketing,72500.0,15.0,Yes
Felicia Murphy,21.0,,49400.0,0.0,No
Steven Clark,21.0,Engineering,72800.0,0.0,No
Allison Cunningham,22.0,Engineering,56000.0,0.0,No
Sean Nguyen,25.0,Finance,62200.0,2.0,No
Jordan Reeves,26.0,IT,72400.0,3.0,No
Terry Ward,41.0,Customer Support,74000.0,16.0,Yes
Tammy Lee,51.0,Marketing,92000.0,21.0,Yes
Donald Franklin,42.0,Sales,69100.0,7.0,No
Sally Leon,34.0,Finance,90600.0,7.0,No
Joseph Cooper,44.0,Engineering,101600.0,17.0,Yes
Latoya Howell,36.0,Engineering,84200.0,8.0,Yes
Thomas Garcia,47.0,IT,83400.0,10.0,Yes
Rebecca Jackson,27.0,Engineering,85800.0,4.0,No
Michael Martin,33.0,Customer Support,55600.0,5.0,Yes
Jason Gomez,36.0,Finance,82800.0,10.0,Yes
Dale Heath,45.0,HR,65800.0,10.0,Yes
Tanner Mann,37.0,Marketing,59200.0,9.0,Yes
Sandra Brown,45.0,Engineering,108900.0,19.0,Yes
Julia Mullins,33.0,,65200.0,10.0,Yes
Carl Leach,39.0,IT,93600.0,13.0,Yes
Bridget Wallace,34.0,IT,68800.0,,Yes
Lori Franco,34.0,IT,65200.0,7.0,Yes
Dana Smith,31.0,Engineering,78500.0,6.0,Yes
Tonya Kemp,25.0,HR,56500.0,2.0,No
Adam Burgess,38.0,Marketing,67200.0,7.0,Yes
Sarah Clements,48.0,IT,78100.0,8.0,Yes
Melissa Patrick,51.0,Engineering,88100.0,13.0,Yes
Jason Oliver,45.0,Operations,87900.0,19.0,Yes
Angel Hayes,39.0,Operations,57600.0,10.0,Yes
Tyler Chapman MD,30.0,IT,76000.0,5.0,Yes
Carl Campbell,40.0,Sales,68100.0,7.0,Yes
Michael Henry,30.0,Marketing,61100.0,3.0,No
Juan Parker,45.0,Engineering,96600.0,17.0,
Donna Moore,40.0,Customer Support,51900.0,9.0,No
Jennifer Sparks,21.0,IT,78600.0,0.0,No
Daniel Meyer,31.0,Engineering,78200.0,8.0,Yes
Joy Zimmerman,27.0,HR,54700.0,4.0,Yes
Rhonda Martin,21.0,IT,62000.0,0.0,No
Alex Steele,48.0,Finance,69400.0,12.0,Yes
Susan Armstrong,35.0,Finance,62100.0,6.0,Yes
Randall Cox,34.0,Sales,60900.0,4.0,Yes
Eric Foster,25.0,Marketing,48300.0,2.0,No
Robert Dennis,58.0,IT,79000.0,13.0,Yes
Crystal Davis,44.0,Sales,73500.0,10.0,Yes
Casey Blanchard,45.0,Finance,87100.0,12.0,Yes
Linda Jones,35.0,HR,53500.0,5.0,No
Dawn Jones,38.0,Sales,64200.0,12.0,Yes
Abigail Baird,48.0,Marketing,85200.0,21.0,Yes
Robin Jones,22.0,IT,68100.0,1.0,No
Cindy Gomez,28.0,Finance,,3.0,No
Bradley Cobb,49.0,Operations,79900.0,17.0,Yes
Michael Flores,35.0,IT,331600.0,8.0,Yes
Emma Owens,44.0,IT,94800.0,16.0,Yes
Tammy Lynch,,,51800.0,11.0,Yes
Derek Hall,28.0,IT,71800.0,3.0,No
Shannon Rogers,37.0,Engineering,89400.0,8.0,Yes
Victor Brown,45.0,,52300.0,14.0,Yes
Olivia Dorsey,29.0,Operations,44700.0,3.0,No
Jonathan Torres,22.0,Engineering,70300.0,1.0,No
Ashley Schaefer,21.0,HR,38600.0,0.0,No
Sara Hernandez,28.0,Finance,67400.0,5.0,Yes
Sylvia Schroeder,47.0,Engineering,99000.0,10.0,Yes
Sarah Jordan,28.0,Sales,57500.0,2.0,No
Crystal Pierce,38.0,IT,66800.0,9.0,Yes
Michelle Rodriguez,40.0,IT,74400.0,7.0,No
Cody Sanchez,27.0,Finance,53100.0,4.0,No
Alison Adams,46.0,Finance,81800.0,12.0,Yes
Kyle Mccarthy,,Marketing,70300.0,13.0,Yes
Nancy Chavez,33.0,Finance,72900.0,4.0,Yes
Robert Frank,27.0,Engineering,76100.0,3.0,Yes
Jeffrey Benton Jr.,31.0,Sales,55700.0,3.0,Yes
Bryan King,46.0,IT,,19.0,Yes
Brenda Oconnor,23.0,Marketing,57900.0,2.0,No
Allison Murray,41.0,Customer Support,49200.0,6.0,Yes
Valerie English,47.0,HR,59800.0,10.0,Yes
Jonathan Moss,28.0,Marketing,61200.0,6.0,Yes
Richard Howard,38.0,IT,,14.0,Yes
Lauren Smith,36.0,Engineering,85300.0,10.0,Yes
Shannon Hill,38.0,Engineering,100800.0,12.0,Yes
Robert Fleming,33.0,Customer Support,50200.0,9.0,No
Tracy Chavez,34.0,Sales,66800.0,11.0,Yes
Julie Anderson,31.0,Engineering,74300.0,4.0,No
Elaine Brooks,21.0,Engineering,74900.0,0.0,No
Richard Smith,47.0,Engineering,109300.0,20.0,Yes
Courtney Chapman,35.0,Finance,75900.0,12.0,Yes
Frank Lawson,49.0,HR,77000.0,18.0,Yes
James Morales DVM,21.0,Sales,48000.0,0.0,No
Tiffany Mcgee,32.0,Operations,58600.0,5.0,Yes
Omar Kelly,21.0,Sales,54800.0,0.0,No
Brian Black,48.0,HR,86500.0,22.0,Yes
Larry Harris,28.0,Marketing,56000.0,2.0,No
Ann Kennedy,45.0,HR,60300.0,9.0,
Jerry Hamilton,36.0,IT,81900.0,9.0,Yes
Adriana Parks,21.0,Sales,43300.0,0.0,No
Brent Jordan,38.0,IT,80300.0,11.0,Yes
Richard Washington,29.0,HR,69000.0,6.0,
Alexa Buck,39.0,IT,86700.0,15.0,Yes
Marilyn Henry,32.0,Finance,69600.0,6.0,No
Michael Stewart,37.0,Finance,85700.0,12.0,Yes
Kelly Gilbert,33.0,Marketing,68300.0,9.0,Yes
Nancy Gaines,23.0,IT,59600.0,1.0,No
Kendra Burton,52.0,Customer Support,88500.0,26.0,Yes
Stephanie Marshall,46.0,HR,59600.0,,Yes
Kimberly Thomas,40.0,Sales,75400.0,13.0,Yes
Karen Thomas,36.0,Sales,73500.0,12.0,Yes
Amanda Terrell,36.0,Marketing,64900.0,9.0,Yes
Carolyn Cantu,25.0,IT,66300.0,2.0,No
Bobby Matthews,35.0,Finance,68800.0,8.0,Yes
Madison Rodriguez,21.0,Sales,44400.0,0.0,No
Alicia Phillips MD,34.0,Customer Support,55500.0,7.0,Yes
John Browning,43.0,Marketing,79200.0,12.0,Yes
Virginia Johns,22.0,HR,37700.0,1.0,No
Rachel Williams,25.0,HR,43100.0,1.0,Yes
Michelle Smith,39.0,IT,95900.0,14.0,Yes
Tracy Mcguire,39.0,Engineering,100600.0,,Yes
Anthony Morales,26.0,IT,76200.0,2.0,No
David Lopez,24.0,Engineering,66300.0,2.0,No
Steven Rivera,36.0,Operations,,6.0,Yes
Lee Morton,26.0,Operations,61700.0,4.0,No
Deborah Smith,47.0,Engineering,106600.0,22.0,Yes
Allison Clark,21.0,Engineering,65800.0,0.0,No
Kelly Moore,28.0,IT,67500.0,2.0,No
Thomas Ramos,42.0,Operations,58200.0,7.0,Yes
Susan Jones,50.0,HR,91400.0,23.0,Yes
Timothy Thompson,37.0,Finance,78500.0,13.0,Yes
James Griffith,35.0,Sales,68100.0,10.0,Yes
Kimberly Lutz,40.0,Sales,58500.0,6.0,Yes
Jonathan Cortez,37.0,Engineering,80900.0,5.0,No
Teresa Jones,31.0,Finance,69500.0,7.0,Yes
Jennifer Vaughn,53.0,Engineering,104600.0,16.0,Yes
Charles Rodriguez,21.0,Engineering,74900.0,0.0,No
Kimberly Stone DDS,31.0,IT,80200.0,7.0,Yes
Lucas Schultz,33.0,Sales,50900.0,8.0,Yes
Alexis Tucker,36.0,Engineering,84200.0,,Yes
Jennifer Crawford,45.0,IT,84300.0,9.0,Yes
Lisa Torres,44.0,,57400.0,9.0,Yes
Jeanne Rose,42.0,Finance,85200.0,13.0,Yes
Crystal Hill,45.0,Marketing,67600.0,13.0,Yes
Ronald Martinez,39.0,Engineering,81700.0,6.0,Yes
Phillip Byrd,43.0,Engineering,73000.0,8.0,Yes
Ashley Brown,35.0,,79400.0,11.0,Yes
Gina Moore,42.0,Sales,66300.0,10.0,Yes
Victoria Wright,37.0,Operations,71100.0,12.0,Yes
Charles Strickland,28.0,Operations,51500.0,3.0,No
Tony Moore,45.0,IT,113100.0,20.0,Yes
Mitchell Anderson,37.0,IT,74600.0,9.0,Yes
Joann Forbes,29.0,Customer Support,53100.0,6.0,Yes
Melinda Anderson,31.0,Finance,74600.0,4.0,No
Vickie Hall,37.0,Finance,81700.0,10.0,Yes
Mr. Alexander Landry MD,21.0,Sales,,0.0,Yes
Jade Allen,57.0,Sales,81500.0,,Yes
Nicholas Cisneros,,Marketing,68000.0,13.0,Yes
Kim Beltran,40.0,Sales,77100.0,14.0,Yes
Hannah Perez MD,25.0,Sales,53500.0,3.0,No
Luke Solomon,36.0,Sales,58500.0,6.0,No
Robert Price,39.0,Operations,72500.0,15.0,Yes
Kari Simmons,22.0,Marketing,48800.0,1.0,No
Michele Bennett,36.0,Engineering,92000.0,11.0,Yes
Dustin Stein,44.0,Sales,88100.0,,Yes
Jessica Larsen,40.0,Engineering,85200.0,12.0,Yes
Courtney Morgan,21.0,,74900.0,0.0,
Mr. Carl Rios,50.0,Engineering,103200.0,21.0,Yes
Robert Jackson,32.0,Engineering,84800.0,8.0,Yes
Jason Chase,33.0,Operations,70200.0,7.0,No
Jeffrey Lynch,33.0,IT,,6.0,Yes
Jennifer Norman,41.0,Finance,79400.0,12.0,Yes
Donald Coleman,32.0,Operations,55200.0,4.0,Yes
Audrey Gomez,37.0,Engineering,87300.0,8.0,Yes
Travis Walters,59.0,Marketing,110500.0,25.0,Yes
Christina Myers,49.0,Operations,96800.0,19.0,Yes
Tammy Long,40.0,Marketing,69000.0,12.0,Yes
Ryan Rosales,30.0,Engineering,76100.0,6.0,No
James Montoya,39.0,Operations,70600.0,13.0,Yes
Jeffrey Ayala,30.0,Finance,68700.0,4.0,No
Christopher Farrell,43.0,Engineering,,14.0,Yes
Nicholas George,30.0,Marketing,76700.0,5.0,No
Cassandra Vasquez,37.0,Sales,75500.0,12.0,Yes
Brittany Rios,38.0,Engineering,85200.0,7.0,No
Jacob Hoover,31.0,Finance,74200.0,7.0,
Michael Baker,47.0,IT,94600.0,13.0,Yes
Mr. John Khan,24.0,IT,72500.0,1.0,No
Matthew Austin,36.0,HR,54700.0,6.0,Yes
Michael Buchanan,33.0,Sales,,4.0,No
Robert Moore,32.0,Finance,76600.0,9.0,Yes
Jerry Peters,37.0,HR,64800.0,5.0,No
Anthony Harmon,37.0,Engineering,93400.0,,Yes
Joanna Kelly,21.0,Customer Support,34000.0,0.0,No
Sarah Johnson,44.0,IT,99900.0,18.0,Yes
Marcus Fields,,Engineering,77000.0,3.0,
Eric Walker,,Finance,75500.0,7.0,No
Emma Reed,27.0,Engineering,70100.0,3.0,No
Claire Mcintosh,50.0,Sales,66600.0,10.0,No
Andrew Chavez,40.0,Marketing,89900.0,16.0,Yes
Matthew Baker,27.0,Engineering,76800.0,3.0,No
Joshua Ramos DDS,24.0,Operations,55700.0,2.0,No
Christopher Hudson,37.0,Customer Support,49300.0,6.0,No
Nicole Mcbride,32.0,IT,76600.0,6.0,
Jeffery Jennings,42.0,IT,92500.0,16.0,Yes
Brenda Hinton,36.0,IT,93300.0,,Yes
Aaron Hernandez,28.0,IT,62400.0,2.0,Yes
Dustin Wilson,39.0,IT,84600.0,14.0,Yes
Miss Tina Gordon,21.0,HR,43100.0,0.0,No
Theodore Long,27.0,HR,44900.0,,Yes
Matthew Evans,21.0,Finance,62900.0,0.0,No
Yolanda Martin,42.0,IT,94900.0,18.0,Yes
Joel Thomas,38.0,Customer Support,37000.0,8.0,Yes
Michael Lee,41.0,IT,102100.0,17.0,Yes
Andrew Cruz,32.0,Finance,71300.0,5.0,Yes
Robert Berg,44.0,IT,97200.0,19.0,Yes
Lauren Trevino,34.0,Sales,70900.0,8.0,Yes
Jason Smith,34.0,HR,45300.0,5.0,No
Cody Jimenez,37.0,IT,72600.0,6.0,No
Cynthia Shannon,39.0,Finance,68300.0,6.0,Yes
Jesse Gardner,33.0,Sales,73300.0,9.0,Yes
David Hayes,34.0,Sales,66500.0,6.0,
Richard Perry,33.0,Engineering,79500.0,7.0,Yes
Joshua Jacobs,28.0,Finance,60400.0,,Yes
Nicole Williams,42.0,Marketing,69300.0,10.0,Yes
Tiffany Hughes,31.0,IT,71500.0,7.0,Yes
Joshua Miller,32.0,Sales,72800.0,9.0,Yes
Colleen Wright,47.0,IT,91300.0,13.0,Yes
Jeffrey Romero,40.0,Finance,83800.0,11.0,Yes
Natalie Huff,33.0,Customer Support,,8.0,Yes
Matthew Garcia MD,23.0,Operations,55800.0,,No
Kimberly Orozco,32.0,Finance,72400.0,8.0,Yes
Melody Stevens,,IT,46700.0,0.0,No
Sarah Davis,36.0,IT,68900.0,5.0,No
Katherine Miller,32.0,Engineering,80800.0,5.0,No
Erica Huang,26.0,Marketing,50200.0,2.0,
Patty Allen,41.0,Engineering,87700.0,8.0,Yes
Nathan Burke,38.0,Engineering,79900.0,7.0,Yes
Jose Mckinney,28.0,IT,66400.0,4.0,No
Daniel James,31.0,IT,83600.0,8.0,Yes
Olivia Harris,43.0,Marketing,82700.0,18.0,Yes
James Gilbert,48.0,Sales,75900.0,16.0,Yes
Jasmine Frye,40.0,IT,84300.0,12.0,Yes
Ashley King,37.0,Marketing,60600.0,7.0,Yes
Patricia Hayes,24.0,IT,61900.0,1.0,No
Andrew Roberts,25.0,Sales,55500.0,2.0,No
Jose Ramirez,56.0,Sales,96200.0,23.0,Yes
Kimberly Smith,46.0,HR,68800.0,15.0,Yes
Debra Davidson,42.0,IT,103400.0,16.0,Yes
Zachary Santiago,52.0,Marketing,87000.0,20.0,Yes
Chris Lewis,28.0,Engineering,80700.0,4.0,No
Daniel Lee,37.0,Customer Support,49800.0,5.0,No
Shannon Taylor,34.0,IT,81500.0,5.0,Yes
Jesse Brooks,36.0,IT,79800.0,8.0,Yes
Randy Perez,22.0,IT,68200.0,1.0,No
Charles Owens,27.0,Customer Support,58100.0,4.0,No
Courtney Nelson,38.0,Engineering,98800.0,13.0,Yes
Lauren Thompson,41.0,Engineering,91700.0,12.0,Yes
Andrea Bowman,35.0,Marketing,75600.0,10.0,Yes
Anthony Carlson,24.0,IT,71900.0,2.0,Yes
Sarah Randolph,38.0,Marketing,71600.0,11.0,Yes
Jeremy Manning,22.0,Engineering,76800.0,1.0,No
Timothy Edwards,30.0,Marketing,51800.0,,No
Nicole Bright,21.0,Sales,47800.0,0.0,No
Hunter Williams,48.0,IT,107200.0,18.0,Yes
Lindsey Gray,35.0,Customer Support,47600.0,6.0,Yes
William Christian,40.0,Engineering,85600.0,8.0,Yes
Brian Lee,34.0,IT,76900.0,10.0,Yes
Richard Rivera,28.0,Sales,56000.0,5.0,Yes
Mary Adkins,46.0,IT,116100.0,21.0,Yes
Nicholas Stanley,33.0,Customer Support,49100.0,9.0,Yes
Jason Crawford,25.0,Marketing,67700.0,3.0,No
David Jones,29.0,Engineering,84200.0,6.0,Yes
Jacqueline Owens,40.0,HR,57300.0,8.0,Yes
Victoria Smith,21.0,Customer Support,33300.0,0.0,No
Dean Harris,39.0,IT,87600.0,,Yes
Parker Knight,31.0,Engineering,86900.0,4.0,Yes
Elizabeth Brock,52.0,Customer Support,82200.0,21.0,Yes
Mark Knight,45.0,Operations,86900.0,16.0,Yes
Thomas Sparks,60.0,Engineering,123400.0,29.0,Yes
William Prince PhD,21.0,Sales,51800.0,0.0,No
Joshua Cunningham,42.0,IT,103000.0,18.0,Yes
Kayla Burns,31.0,Engineering,311600.0,6.0,Yes
Terri Cisneros,36.0,Marketing,58200.0,8.0,Yes
Jason Smith,41.0,Sales,76300.0,10.0,Yes
David Washington,29.0,Sales,55600.0,3.0,No
Zachary Hicks,30.0,Sales,60700.0,4.0,No
James Anderson,37.0,Engineering,86500.0,10.0,Yes
Jeffrey Stanton,30.0,Operations,44500.0,3.0,No
Matthew Doyle,25.0,IT,71600.0,2.0,Yes
Paula Lopez,22.0,Operations,53100.0,0.0,No
Tamara Gonzales,42.0,HR,85500.0,17.0,Yes
Dean Sanchez,41.0,Sales,70900.0,8.0,Yes
Jesse Wright,38.0,Customer Support,60400.0,14.0,Yes
James Cox,41.0,Engineering,105400.0,14.0,Yes
Alejandra Price,34.0,IT,60100.0,4.0,No
Robert Morgan,38.0,Engineering,92500.0,9.0,Yes
Eddie Duffy,21.0,Finance,,0.0,No
Alexander Stein,41.0,Marketing,71900.0,12.0,Yes
Scott Norman,38.0,Operations,63900.0,9.0,Yes
Melanie Villarreal,38.0,Finance,81300.0,9.0,Yes
Derek Mckinney,39.0,Customer Support,60900.0,14.0,Yes
Denise Wiley,32.0,Operations,69500.0,9.0,Yes
John Vaughn,34.0,Sales,70200.0,11.0,Yes
Ricky Davis II,40.0,Marketing,70100.0,11.0,Yes
Larry Curtis,30.0,Operations,59000.0,8.0,Yes
Tracy Santiago,30.0,Finance,76600.0,,Yes
James Smith,50.0,IT,92800.0,15.0,Yes
Linda Bautista,35.0,IT,87000.0,8.0,No
Heather Fields,30.0,Engineering,75100.0,,No
Steven Knight,37.0,HR,63000.0,12.0,Yes
Madison Wilson,42.0,Finance,88700.0,14.0,Yes
Becky Hansen,41.0,IT,72400.0,7.0,No
Vincent Novak,28.0,Operations,49100.0,5.0,No
Leslie Case,23.0,Finance,67300.0,,No
Kristine Carrillo,30.0,HR,61300.0,7.0,No
Pamela Hernandez DVM,40.0,Sales,,7.0,Yes
Zachary Johnson,,Sales,63800.0,5.0,No
Nancy Moreno,30.0,Engineering,89300.0,5.0,Yes
Candace Perez,28.0,Sales,59600.0,4.0,No
Rebecca Summers,43.0,Engineering,111400.0,18.0,Yes
Mercedes Miller,47.0,IT,89000.0,16.0,Yes
David Douglas Jr.,47.0,Finance,86300.0,12.0,Yes
Tanner King,32.0,Engineering,90500.0,8.0,Yes
Amanda Arroyo,43.0,,72400.0,17.0,Yes
Sarah Fields,41.0,Marketing,63200.0,7.0,No
Brandon Smith,40.0,Engineering,84800.0,13.0,Yes
Danielle Bennett,26.0,Customer Support,45900.0,4.0,No
Sarah Smith,22.0,Sales,54600.0,0.0,No
Jessica Smith,35.0,Engineering,84000.0,5.0,Yes
Victor Brown,22.0,Customer Support,,,No
Matthew Shaw,35.0,Finance,72500.0,6.0,Yes
Tyler Taylor,25.0,Finance,68300.0,3.0,No
Carlos Adams,55.0,Engineering,111000.0,18.0,Yes
Linda Henderson,28.0,Finance,72300.0,3.0,No
Shannon Jones,44.0,IT,90700.0,14.0,Yes
Mary Miller,42.0,IT,91400.0,18.0,Yes
Daniel Quinn,35.0,HR,68200.0,12.0,Yes
Lance Macdonald DVM,37.0,Customer Support,69400.0,13.0,Yes
Amy Garcia,23.0,Marketing,44400.0,1.0,No
Monica Atkinson,23.0,Marketing,55000.0,1.0,No
Michael Morrison,45.0,Marketing,90200.0,18.0,Yes
Rhonda Patterson,25.0,Customer Support,58800.0,2.0,No
Kelly Edwards,21.0,HR,46300.0,0.0,No
William Webb,38.0,Sales,50100.0,5.0,Yes
Rebecca Lopez,40.0,Sales,62400.0,8.0,Yes
Nancy Tran,21.0,Customer Support,39700.0,0.0,Yes
Jennifer Parks,44.0,,75200.0,7.0,Yes
Lisa Barnes,21.0,IT,69200.0,0.0,No
Robert Lucas,,Engineering,67600.0,,No
Cynthia Jones,35.0,IT,87300.0,6.0,Yes
James Webster,35.0,HR,,7.0,No
Ann Boyd,36.0,Engineering,100600.0,10.0,No
Daniel Roberson,33.0,Engineering,88700.0,7.0,Yes
Patricia Hernandez,29.0,Finance,66400.0,5.0,Yes
John Johnson,41.0,Operations,57400.0,9.0,Yes
Angel Johnson,39.0,Engineering,91400.0,15.0,Yes
Victor Morris,33.0,Engineering,74500.0,7.0,Yes
Donna Johnson,44.0,Sales,85200.0,18.0,Yes
Karen Ortiz,36.0,Operations,54700.0,10.0,Yes
Wendy Chavez,27.0,Engineering,,5.0,No
Anne Jones,31.0,Sales,64500.0,6.0,No
Bryan Harris,27.0,Sales,58400.0,3.0,No
Angelica Tucker,22.0,Operations,,0.0,No
Amy Watts,40.0,Sales,80300.0,14.0,Yes
Sheri Hoover,40.0,Operations,76800.0,12.0,Yes
Michelle Howard,35.0,Marketing,63900.0,5.0,No
John Watts,53.0,,85200.0,15.0,Yes
Billy Williams,29.0,Engineering,84900.0,5.0,Yes
Jon Gonzalez,26.0,Sales,60000.0,2.0,No
John Taylor,34.0,Sales,65700.0,5.0,Yes
Phyllis Schmidt,,Engineering,101100.0,14.0,
Anita Pitts,37.0,,70800.0,5.0,Yes
Mark Mueller,,Sales,,10.0,Yes
Susan Zimmerman,28.0,Customer Support,45700.0,5.0,No
Nathaniel Wright,35.0,IT,81800.0,10.0,Yes
Keith Morales,28.0,Sales,62300.0,4.0,No
John Whitehead,31.0,,75400.0,4.0,Yes
Toni Lamb,27.0,Sales,51700.0,2.0,No
Mrs. Susan Newton MD,41.0,Customer Support,63700.0,16.0,Yes
Brandon Carrillo,41.0,Sales,55400.0,8.0,Yes
James Greene,27.0,Engineering,85300.0,4.0,No
Rebecca Roberts,31.0,Engineering,,8.0,Yes
Samantha Washington,30.0,Finance,71200.0,4.0,No
Erica Huynh,41.0,HR,65300.0,16.0,Yes
James Cox,47.0,Engineering,105700.0,20.0,Yes
Michael Singleton,35.0,Operations,60000.0,8.0,Yes
Cynthia Green,37.0,,73800.0,5.0,Yes
Thomas Rodgers,21.0,IT,53100.0,0.0,No
Alyssa Long,42.0,Engineering,93100.0,12.0,Yes
Melanie Baker,52.0,Sales,84500.0,15.0,Yes
Roger Petty,47.0,Operations,72100.0,15.0,Yes
Ashley Coleman,33.0,Sales,59900.0,6.0,Yes
Madison Poole,27.0,Sales,45600.0,2.0,No
Stephanie Byrd,31.0,IT,75800.0,7.0,Yes
Richard Wood,38.0,HR,55100.0,9.0,Yes
Jennifer Parker,39.0,IT,91600.0,14.0,Yes
Crystal Wallace,30.0,Engineering,76200.0,5.0,Yes
Robin Parker,42.0,Finance,74900.0,9.0,Yes
Nathan Maldonado,25.0,IT,70500.0,1.0,No
Garrett Riley,42.0,Engineering,92900.0,10.0,Yes
Denise Hendricks,36.0,Engineering,72300.0,5.0,Yes
Benjamin Mosley,46.0,IT,111200.0,,Yes
Robert Waller,35.0,Marketing,63000.0,5.0,Yes
Megan Hall,45.0,Marketing,94800.0,19.0,Yes
Dr. Melissa Sullivan DDS,30.0,Engineering,,5.0,No
Manuel Robinson,43.0,Customer Support,52300.0,10.0,Yes
Patrick Mccall,41.0,Sales,56200.0,7.0,No
Paul Sheppard,43.0,Marketing,71600.0,12.0,Yes
Laura Spence,27.0,Sales,44500.0,3.0,Yes
Michelle Schultz,34.0,Sales,59500.0,8.0,Yes
Angela Richards,44.0,Customer Support,78700.0,,Yes
David Harris,33.0,Finance,87900.0,10.0,No
Margaret Orr,31.0,Engineering,87900.0,7.0,Yes
Jeffery Neal,30.0,,52700.0,4.0,Yes
Dennis Marshall,36.0,IT,82000.0,10.0,Yes
Margaret Johnson,33.0,Operations,57000.0,10.0,Yes
Benjamin Townsend,33.0,Engineering,88000.0,8.0,Yes
James Grimes,28.0,Finance,71300.0,5.0,Yes
